 0.8544,"In the name of Allah, Most Gracious, Most Merciful.","Gracious is the LORD, and righteous; yea, our God is merciful."
 0.9262,Or to the indigent (down) in the dust.,"Gilead is a city of them that work iniquity, and is polluted with blood."
 0.9395,"Then will he be of those who believe, and enjoin patience, (constancy, and self-restraint), and enjoin deeds of kindness and compassion.","But the wisdom that is from above is first pure, then peaceable, gentle, and easy to be intreated, full of mercy and good fruits, without partiality, and without hypocrisy."
 0.9130,Such are the Companions of the Right Hand.,"And I said, This is my infirmity: but I will remember the years of the right hand of the most High."
 0.9309,"But those who reject Our Signs, they are the (unhappy) Companions of the Left Hand.","Behold, these are the ungodly, who prosper in the world; they increase in riches."
 0.9228,On them will be Fire vaulted over (all round).,Before their face the people shall be much pained: all faces shall gather blackness.
 0.8941,By the Sun and his (glorious) splendour;,"The LORD is high above all nations, and his glory above the heavens."
 0.9207,By the Moon as she follows him;,And sitting down they watched him there;
 0.9289,By the Day as it shows up (the Sun's) glory;,"But the path of the just is as the shining light, that shineth more and more unto the perfect day."
 0.9133,By the Night as it conceals it;,Let darkness and the shadow of death stain it; let a cloud dwell upon it; let the blackness of the day terrify it.
 0.9247,By the Firmament and its (wonderful) structure;,"The heaven for height, and the earth for depth, and the heart of kings is unsearchable."
 0.9022,By the Earth and its (wide) expanse:,"The measure thereof is longer than the earth, and broader than the sea."
 0.9318,"By the Soul, and the proportion and order given to it;","To receive the instruction of wisdom, justice, and judgment, and equity;"
 0.9215,And its enlightenment as to its wrong and its right;-,"Which shew the work of the law written in their hearts, their conscience also bearing witness, and their thoughts the mean while accusing or else excusing one another;)"
 0.9204,"Truly he succeeds that purifies it,","Walk in wisdom toward them that are without, redeeming the time."
 0.9263,And he fails that corrupts it!,"But all these worketh that one and the selfsame Spirit, dividing to every man severally as he will."
 0.9377,"The Thamud (people) rejected (their prophet) through their inordinate wrong-doing,",Zebulun and Naphtali were a people that jeoparded their lives unto the death in the high places of the field.
 0.9434,"Behold, the most wicked man among them was deputed (for impiety).",This also were an iniquity to be punished by the judge: for I should have denied the God that is above.
 0.9119,"But the Messenger of Allah said to them: ""It is a She-camel of Allah! And (bar her not from) having her drink!""","Then they sent to Jezebel, saying, Naboth is stoned, and is dead."
 0.9527,"Then they rejected him (as a false prophet), and they hamstrung her. So their Lord, on account of their crime, obliterated their traces and made them equal (in destruction, high and low)!","And they left the house of the LORD God of their fathers, and served groves and idols: and wrath came upon Judah and Jerusalem for this their trespass."
 0.9233,And for Him is no fear of its consequences.,There is no fear of God before their eyes.
 0.9281,By the Night as it conceals (the light);,"A land of darkness, as darkness itself; and of the shadow of death, without any order, and where the light is as darkness."
 0.9128,By the Day as it appears in glory;,"But the path of the just is as the shining light, that shineth more and more unto the perfect day."
 0.9257,By (the mystery of) the creation of male and female;-,"Which things are an allegory: for these are the two covenants; the one from the mount Sinai, which gendereth to bondage, which is Agar."
 0.9253,"Verily, (the ends) ye strive for are diverse.","My brethren, count it all joy when ye fall into divers temptations;"
 0.9245,"So he who gives (in charity) and fears (Allah),",And the heavens shall declare his righteousness: for God is judge himself. Selah.
 0.9322,"And (in all sincerity) testifies to the best,-",In meekness instructing those that oppose themselves; if God peradventure will give them repentance to the acknowledging of the truth;
 0.9237,We will indeed make smooth for him the path to Bliss.,"Much more then, being now justified by his blood, we shall be saved from wrath through him."
 0.9251,"But he who is a greedy miser and thinks himself self-sufficient,","The Son of man is come eating and drinking; and ye say, Behold a gluttonous man, and a winebibber, a friend of publicans and sinners!"
 0.9258,"And gives the lie to the best,-","To preach the gospel in the regions beyond you, and not to boast in another man's line of things made ready to our hand."
 0.9270,We will indeed make smooth for him the path to Misery;,It is an honour for a man to cease from strife: but every fool will be meddling.
 0.9214,Nor will his wealth profit him when he falls headlong (into the Pit).,"He will deliver his soul from going into the pit, and his life shall see the light."
 0.9199,"Verily We take upon Ourselves to guide,","It seemed good unto us, being assembled with one accord, to send chosen men unto you with our beloved Barnabas and Paul,"
 0.9249,And verily unto Us (belong) the End and the Beginning.,"This is the interpretation of the thing: MENE; God hath numbered thy kingdom, and finished it."
 0.9300,Therefore do I warn you of a Fire blazing fiercely;,I also will laugh at your calamity; I will mock when your fear cometh;
 0.9150,None shall reach it but those most unfortunate ones,"All the sinners of my people shall die by the sword, which say, The evil shall not overtake nor prevent us."
 0.9131,Who give the lie to Truth and turn their backs.,"Why then is this people of Jerusalem slidden back by a perpetual backsliding? they hold fast deceit, they refuse to return."
 0.9272,"But those most devoted to Allah shall be removed far from it,-","And Moab shall be destroyed from being a people, because he hath magnified himself against the LORD."
 0.9391,"Those who spend their wealth for increase in self-purification,","Who being past feeling have given themselves over unto lasciviousness, to work all uncleanness with greediness."
 0.9266,"And have in their minds no favour from anyone for which a reward is expected in return,",Recompense to no man evil for evil. Provide things honest in the sight of all men.
 0.9372,But only the desire to seek for the Countenance of their Lord Most High;,"To turn aside the right of a man before the face of the most High,"
 0.9136,And soon will they attain (complete) satisfaction.,"Much more then, being now justified by his blood, we shall be saved from wrath through him."
 0.8928,"By the Glorious Morning Light,","So it was alway: the cloud covered it by day, and the appearance of fire by night."
 0.9253,"And by the Night when it is still,-","I must work the works of him that sent me, while it is day: the night cometh, when no man can work."
 0.9362,"Thy Guardian-Lord hath not forsaken thee, nor is He displeased.",The LORD hath chastened me sore: but he hath not given me over unto death.
 0.8803,And verily the Hereafter will be better for thee than the present.,Now I am come to make thee understand what shall befall thy people in the latter days: for yet the vision is for many days.
 0.9415,And soon will thy Guardian-Lord give thee (that wherewith) thou shalt be well-pleased.,"And whereas they commanded to leave the stump of the tree roots; thy kingdom shall be sure unto thee, after that thou shalt have known that the heavens do rule."
