 1.0000,In the beginning God created the heaven and the earth.,In the beginning God created the heaven and the earth.
 1.0000,"And they took all the spoil, and all the prey, both of men and of beasts.","And they took all the spoil, and all the prey, both of men and of beasts."
 1.0000,"And they brought the captives, and the prey, and the spoil, unto Moses, and Eleazar the priest, and unto the congregation of the children of Israel, unto the camp at the plains of Moab, which are by Jordan near Jericho.","And they brought the captives, and the prey, and the spoil, unto Moses, and Eleazar the priest, and unto the congregation of the children of Israel, unto the camp at the plains of Moab, which are by Jordan near Jericho."
 1.0000,"And Moses, and Eleazar the priest, and all the princes of the congregation, went forth to meet them without the camp.","And Moses, and Eleazar the priest, and all the princes of the congregation, went forth to meet them without the camp."
 1.0000,"And Moses was wroth with the officers of the host, with the captains over thousands, and captains over hundreds, which came from the battle.","And Moses was wroth with the officers of the host, with the captains over thousands, and captains over hundreds, which came from the battle."
 1.0000,"And Moses said unto them, Have ye saved all the women alive?","And Moses said unto them, Have ye saved all the women alive?"
 1.0000,"Behold, these caused the children of Israel, through the counsel of Balaam, to commit trespass against the LORD in the matter of Peor, and there was a plague among the congregation of the LORD.","Behold, these caused the children of Israel, through the counsel of Balaam, to commit trespass against the LORD in the matter of Peor, and there was a plague among the congregation of the LORD."
 1.0000,"Now therefore kill every male among the little ones, and kill every woman that hath known man by lying with him.","Now therefore kill every male among the little ones, and kill every woman that hath known man by lying with him."
 1.0000,"But all the women children, that have not known a man by lying with him, keep alive for yourselves.","But all the women children, that have not known a man by lying with him, keep alive for yourselves."
 1.0000,"And do ye abide without the camp seven days: whosoever hath killed any person, and whosoever hath touched any slain, purify both yourselves and your captives on the third day, and on the seventh day.","And do ye abide without the camp seven days: whosoever hath killed any person, and whosoever hath touched any slain, purify both yourselves and your captives on the third day, and on the seventh day."
 1.0000,"And purify all your raiment, and all that is made of skins, and all work of goats' hair, and all things made of wood.","And purify all your raiment, and all that is made of skins, and all work of goats' hair, and all things made of wood."
 1.0000,"And Eleazar the priest said unto the men of war which went to the battle, This is the ordinance of the law which the LORD commanded Moses;","And Eleazar the priest said unto the men of war which went to the battle, This is the ordinance of the law which the LORD commanded Moses;"
 1.0000,"Only the gold, and the silver, the brass, the iron, the tin, and the lead,","Only the gold, and the silver, the brass, the iron, the tin, and the lead,"
 1.0000,"Every thing that may abide the fire, ye shall make it go through the fire, and it shall be clean: nevertheless it shall be purified with the water of separation: and all that abideth not the fire ye shall make go through the water.","Every thing that may abide the fire, ye shall make it go through the fire, and it shall be clean: nevertheless it shall be purified with the water of separation: and all that abideth not the fire ye shall make go through the water."
 1.0000,"And ye shall wash your clothes on the seventh day, and ye shall be clean, and afterward ye shall come into the camp.","And ye shall wash your clothes on the seventh day, and ye shall be clean, and afterward ye shall come into the camp."
 1.0000,"And the LORD spake unto Moses, saying,","And the LORD spake unto Moses, saying,"
 1.0000,"Take the sum of the prey that was taken, both of man and of beast, thou, and Eleazar the priest, and the chief fathers of the congregation:","Take the sum of the prey that was taken, both of man and of beast, thou, and Eleazar the priest, and the chief fathers of the congregation:"
 1.0000,"And divide the prey into two parts; between them that took the war upon them, who went out to battle, and between all the congregation:","And divide the prey into two parts; between them that took the war upon them, who went out to battle, and between all the congregation:"
 1.0000,"And levy a tribute unto the LORD of the men of war which went out to battle: one soul of five hundred, both of the persons, and of the beeves, and of the asses, and of the sheep:","And levy a tribute unto the LORD of the men of war which went out to battle: one soul of five hundred, both of the persons, and of the beeves, and of the asses, and of the sheep:"
 1.0000,"Take it of their half, and give it unto Eleazar the priest, for an heave offering of the LORD.","Take it of their half, and give it unto Eleazar the priest, for an heave offering of the LORD."
 1.0000,"And of the children of Israel's half, thou shalt take one portion of fifty, of the persons, of the beeves, of the asses, and of the flocks, of all manner of beasts, and give them unto the Levites, which keep the charge of the tabernacle of the LORD.","And of the children of Israel's half, thou shalt take one portion of fifty, of the persons, of the beeves, of the asses, and of the flocks, of all manner of beasts, and give them unto the Levites, which keep the charge of the tabernacle of the LORD."
